IA1	IA2	IB1	IB2	averageP	sdp	overlap	direction
a judge	NA	an addict	NA	0.716885964912281	0.0410679925094478	0.566228070175439	1
an olympian	NA	a judge	NA	0.508154545454545	0.0468176636448932	0.983690909090909	1
a gang member	NA	a judge	NA	0.149676724137931	0.0316319494927622	0.299353448275862	-1
an adult	NA	a convict	NA	0.808628358208955	0.0213835493937874	0.38274328358209	1
an addict	NA	a judge	NA	0.28409649122807	0.0398682887380198	0.56819298245614	-1
a soldier	NA	a mentor	NA	0.625163793103448	0.0430452810726073	0.749672413793103	1
a police officer	NA	a gang member	NA	0.879790322580645	0.0275971163493504	0.24041935483871	1
an astronaut	NA	a thief	NA	0.907686440677966	0.0259139203875199	0.184627118644068	1
a father	NA	an elderly person	NA	0.66673167539267	0.0246202108260847	0.66653664921466	1
a mentor	NA	a convict	NA	0.842822834645669	0.0306813432908844	0.314354330708661	1
an elderly person	NA	a father	NA	0.334243455497382	0.0229597961205871	0.668486910994764	-1
an adult	NA	a soldier	NA	0.352671296296296	0.0264911076491909	0.705342592592593	-1
an olympian	NA	a teacher	NA	0.38868201754386	0.0316241325756341	0.777364035087719	-1
a teacher	NA	a pedophile	NA	0.992233050847458	0.00516026909727028	0.0155338983050848	1
a pedophile	NA	a judge	NA	0.0209279661016949	0.0121954147688673	0.0418559322033898	-1
an elderly person	NA	a mentor	NA	0.510758490566038	0.0297047926519808	0.978483018867925	1
a celebrity	NA	a nun	NA	0.436774774774775	0.0453283805171699	0.87354954954955	-1
a teacher	NA	a gang member	NA	0.903809012875536	0.017832014578246	0.192381974248927	1
a soldier	NA	a mother	NA	0.389758620689655	0.0325305932458748	0.77951724137931	-1
a celebrity	NA	a teacher	NA	0.335922907488987	0.0302899097640976	0.671845814977974	-1
a mentor	NA	a rapist	NA	0.980299180327869	0.011761643172506	0.0394016393442622	1
an elderly person	NA	a mother	NA	0.29094094488189	0.0233814159503682	0.58188188976378	-1
a mentor	NA	a soldier	NA	0.376806034482759	0.0423529462153145	0.753612068965517	-1
an astronaut	NA	a teacher	NA	0.427610638297872	0.0319745763447752	0.855221276595745	-1
a gang member	NA	a police officer	NA	0.119935483870968	0.0292184249992974	0.239870967741936	-1
a rapist	NA	a father	NA	0.00928033472803347	0.00596804470909317	0.0185606694560669	-1
an olympian	NA	an adult	NA	0.455209375	0.0278871446965031	0.91041875	-1
an olympian	NA	a nun	NA	0.514084821428571	0.0453291166473497	0.971830357142857	1
a rapist	NA	a celebrity	NA	0.0922739130434783	0.0248869029847186	0.184547826086957	-1
a celebrity	NA	a thief	NA	0.800963636363636	0.0378602346044825	0.398072727272727	1
a celebrity	NA	a convict	NA	0.717365546218487	0.0401895098972356	0.565268907563025	1
a thief	NA	a soldier	NA	0.0539739130434783	0.0202462572275884	0.107947826086957	-1
a judge	NA	a nun	NA	0.500333333333333	0.0462058149209404	0.999333333333333	1
a terrorist	NA	a thief	NA	0.33675652173913	0.0388189534319266	0.673513043478261	-1
a soldier	NA	a celebrity	NA	0.744688073394495	0.042013170457574	0.510623853211009	1
an astronaut	NA	a police officer	NA	0.446440476190476	0.0426349000299166	0.892880952380952	-1
an elderly person	NA	an olympian	NA	0.59047480620155	0.0312901661500771	0.819050387596899	1
a congressman	NA	a father	NA	0.191607929515418	0.0246756405256278	0.383215859030837	-1
a police officer	NA	a celebrity	NA	0.644194915254237	0.0411299307432762	0.711610169491525	1
an assassin	NA	a teacher	NA	0.0540275423728814	0.0140326976997705	0.108055084745763	-1
a police officer	NA	a thief	NA	0.903245967741935	0.0250959756041542	0.193508064516129	1
a thief	NA	an addict	NA	0.302263157894737	0.0422830411478552	0.604526315789474	-1
an addict	NA	a nun	NA	0.280430434782609	0.0404456590176865	0.560860869565217	-1
a celebrity	NA	an olympian	NA	0.428	0.0464266468749244	0.856	-1
a nun	NA	an addict	NA	0.72194347826087	0.0404986766230039	0.556113043478261	1
a father	NA	a gang member	NA	0.935185897435897	0.0156476415674117	0.129628205128205	1
an addict	NA	a terrorist	NA	0.831977876106195	0.0332821163493947	0.336044247787611	1
a father	NA	a thief	NA	0.959527659574468	0.0123351285636726	0.0809446808510639	1
an assassin	NA	a mentor	NA	0.0594208333333333	0.021206975964988	0.118841666666667	-1
a mentor	NA	an addict	NA	0.78834347826087	0.0385350337233582	0.423313043478261	1
a convict	NA	an assassin	NA	0.64325	0.0387477181651611	0.7135	1
a pedophile	NA	a mother	NA	0.00222978723404255	0.00268227358854882	0.00445957446808509	-1
a rapist	NA	an olympian	NA	0.0326478260869565	0.0151051694283497	0.0652956521739131	-1
a celebrity	NA	a rapist	NA	0.907213043478261	0.0247922308682014	0.185573913043478	1
a congressman	NA	an astronaut	NA	0.350104545454545	0.0438412563015843	0.700209090909091	-1
a convict	NA	a terrorist	NA	0.738245967741936	0.0360344105466105	0.523508064516129	1
a gang member	NA	a mentor	NA	0.105564102564103	0.0277532341837652	0.211128205128205	-1
an elderly person	NA	a nun	NA	0.604081132075472	0.0296743799333939	0.791837735849057	1
a teacher	NA	an adult	NA	0.553468397291196	0.0241277170329874	0.893063205417607	1
an addict	NA	a congressman	NA	0.406150943396226	0.0452316766562822	0.812301886792453	-1
a terrorist	NA	an astronaut	NA	0.0222692307692308	0.0126174779059415	0.0445384615384615	-1
a soldier	NA	a teacher	NA	0.60529525862069	0.0315845150590085	0.789409482758621	1
a mentor	NA	an adult	NA	0.534857798165138	0.0273116608835268	0.930284403669725	1
an adult	NA	an assassin	NA	0.913166158536585	0.0155569816950971	0.173667682926829	1
an addict	NA	a teacher	NA	0.198387445887446	0.0245591090342325	0.396774891774892	-1
a thief	NA	a mentor	NA	0.0841694915254237	0.0246518968485234	0.168338983050847	-1
a pedophile	NA	a thief	NA	0.281605042016807	0.0360201948200466	0.563210084033614	-1
a police officer	NA	a mentor	NA	0.509968	0.0428995028332887	0.980064	1
a mother	NA	a congressman	NA	0.839488888888889	0.0231945121267986	0.321022222222222	1
a convict	NA	an adult	NA	0.191529850746269	0.0218681954147934	0.383059701492537	-1
a judge	NA	an elderly person	NA	0.395126893939394	0.0299143723141702	0.790253787878788	-1
a judge	NA	an olympian	NA	0.489840909090909	0.0467137830706146	0.979681818181818	-1
a nun	NA	a congressman	NA	0.607331818181818	0.044109508822966	0.785336363636364	1
a rapist	NA	a thief	NA	0.312276859504132	0.0393099797876043	0.624553719008265	-1
a rapist	NA	a convict	NA	0.2391	0.0331087830788259	0.4782	-1
a mother	NA	a terrorist	NA	0.994737068965517	0.00430745087690586	0.0105258620689654	1
an addict	NA	a gang member	NA	0.669614035087719	0.0443843229237456	0.660771929824561	1
a nun	NA	a mentor	NA	0.400478991596639	0.0422038476146795	0.800957983193277	-1
a pedophile	NA	an olympian	NA	0.0171238938053097	0.0118384608519098	0.0342477876106194	-1
a father	NA	a pedophile	NA	0.995135021097046	0.00418674184426025	0.00972995780590713	1
a teacher	NA	a mother	NA	0.288011428571429	0.0240798186504314	0.576022857142857	-1
an astronaut	NA	a congressman	NA	0.653340909090909	0.0437284360845823	0.693318181818182	1
a celebrity	NA	a congressman	NA	0.538794117647059	0.0468351223788543	0.922411764705882	1
a gang member	NA	a mother	NA	0.0528175965665236	0.0140044800680289	0.105635193133047	-1
a father	NA	an adult	NA	0.704983108108108	0.0208396883974627	0.590033783783784	1
a mentor	NA	a celebrity	NA	0.645072072072072	0.0434530898951896	0.709855855855856	1
a teacher	NA	a congressman	NA	0.697858407079646	0.0306381307870589	0.604283185840708	1
an astronaut	NA	a mentor	NA	0.452773109243697	0.0461881568242858	0.905546218487395	-1
a thief	NA	an astronaut	NA	0.0934237288135593	0.0257913898510172	0.186847457627119	-1
a terrorist	NA	an assassin	NA	0.398059322033898	0.0389796565538815	0.796118644067797	-1
an assassin	NA	a father	NA	0.0309029535864979	0.0105711157222962	0.0618059071729957	-1
a rapist	NA	a judge	NA	0.0391074380165289	0.0171085587956047	0.0782148760330579	-1
a convict	NA	an elderly person	NA	0.165481684981685	0.0225895178446193	0.33096336996337	-1
an olympian	NA	a pedophile	NA	0.983721238938053	0.0113472375412967	0.0325575221238938	1
a rapist	NA	an addict	NA	0.15040756302521	0.029710306800525	0.30081512605042	-1
an adult	NA	an astronaut	NA	0.505675840978593	0.0269735453966383	0.988648318042813	1
an addict	NA	a pedophile	NA	0.876439655172414	0.0292432270557716	0.247120689655172	1
a mother	NA	a father	NA	0.541508547008547	0.0266557611731193	0.916982905982906	1
