IA1	IA2	IB1	IB2	averageP	sdp	overlap	direction
an adult	NA	a police officer	NA	0.45966966966967	0.0276974193824509	0.919339339339339	-1
an elderly person	NA	a terrorist	NA	0.972087452471483	0.0103762343924853	0.0558250950570343	1
a convict	NA	an olympian	NA	0.1919125	0.0345593072448656	0.383825	-1
a mother	NA	a nun	NA	0.794549145299145	0.0242499244066033	0.410901709401709	1
an addict	NA	an olympian	NA	0.272194444444444	0.0421953680826887	0.544388888888889	-1
a pedophile	NA	an adult	NA	0.0186707317073171	0.00750841610210386	0.0373414634146342	-1
a pedophile	NA	a father	NA	0.00498523206751055	0.0042200591441704	0.00997046413502112	-1
a soldier	NA	an elderly person	NA	0.607863117870722	0.0290207317313193	0.784273764258555	1
a police officer	NA	an adult	NA	0.540262762762763	0.0270106883957175	0.919474474474475	1
a rapist	NA	a nun	NA	0.0337745901639344	0.0150048832659292	0.0675491803278688	-1
a father	NA	a convict	NA	0.907883196721311	0.0183981020460573	0.184233606557377	1
an assassin	NA	a gang member	NA	0.416882352941176	0.0409562563410073	0.833764705882353	-1
a rapist	NA	a police officer	NA	0.0276937984496124	0.0142631006183154	0.0553875968992248	-1
a soldier	NA	an addict	NA	0.855119469026549	0.0326617730300258	0.289761061946903	1
a mentor	NA	an olympian	NA	0.59084375	0.0454702216212733	0.8183125	1
an elderly person	NA	an adult	NA	0.549521141649049	0.0229442591641149	0.900957716701903	1
a gang member	NA	a thief	NA	0.529655172413793	0.0445820902477269	0.940689655172414	1
a police officer	NA	a teacher	NA	0.49149377593361	0.0314284523553802	0.98298755186722	-1
a mother	NA	an addict	NA	0.910658008658009	0.0174712974073525	0.178683982683983	1
an assassin	NA	an adult	NA	0.0865167682926829	0.0157698885399448	0.173033536585366	-1
a police officer	NA	a congressman	NA	0.679599137931034	0.0420503430651037	0.640801724137931	1
an olympian	NA	a father	NA	0.243412663755459	0.0280144137966004	0.486825327510917	-1
a mother	NA	a rapist	NA	0.995483193277311	0.00379593698804976	0.00903361344537812	1
a thief	NA	a father	NA	0.0407531914893617	0.0117736508464829	0.0815063829787234	-1
a congressman	NA	a terrorist	NA	0.878369158878505	0.0290505445477909	0.243261682242991	1
a rapist	NA	an assassin	NA	0.370088709677419	0.0374028655528263	0.740177419354839	-1
an astronaut	NA	a rapist	NA	0.979711382113821	0.0118511227857647	0.0405772357723577	1
a convict	NA	a mother	NA	0.0741198347107438	0.0158891236274006	0.148239669421488	-1
a mentor	NA	a gang member	NA	0.894286324786325	0.026308175720419	0.211427350427351	1
a terrorist	NA	a congressman	NA	0.119911214953271	0.0293014868793227	0.239822429906542	-1
