IA1	IA2	IB1	IB2	averageP	sdp	overlap	direction
an addict	NA	a father	NA	0.114806034482759	0.0197139703913075	0.229612068965517	-1
an adult	NA	a mother	NA	0.253001131221719	0.0206538269762569	0.506002262443439	-1
a celebrity	NA	a mother	NA	0.18538986784141	0.0254636178531226	0.370779735682819	-1
a rapist	NA	a soldier	NA	0.011575	0.00917193178485314	0.02315	-1
a celebrity	NA	a gang member	NA	0.775186363636364	0.0383107553345648	0.449627272727273	1
a father	NA	a teacher	NA	0.670744318181818	0.0235058500705504	0.658511363636364	1
an elderly person	NA	a judge	NA	0.6024375	0.0285677986050222	0.795125	1
a convict	NA	a celebrity	NA	0.282151260504202	0.040029396474162	0.564302521008403	-1
a thief	NA	a rapist	NA	0.686723140495868	0.0386922755176412	0.626553719008264	1
a nun	NA	a pedophile	NA	0.9829	0.0109338843786361	0.0342	1
a pedophile	NA	a gang member	NA	0.250588983050847	0.0352043694999539	0.501177966101695	-1
an assassin	NA	a soldier	NA	0.0367076271186441	0.0161205871020197	0.0734152542372881	-1
a celebrity	NA	an addict	NA	0.639851851851852	0.0446623232510346	0.720296296296296	1
a mother	NA	a gang member	NA	0.946592274678112	0.0149359768685255	0.106815450643777	1
a mentor	NA	an astronaut	NA	0.548638655462185	0.0456566887800272	0.90272268907563	1
an olympian	NA	a soldier	NA	0.297119266055046	0.0428518162993895	0.594238532110092	-1
a nun	NA	an adult	NA	0.442065749235474	0.0267349128548239	0.884131498470948	-1
a nun	NA	a rapist	NA	0.965217213114754	0.0146435966677362	0.0695655737704919	1
an adult	NA	a terrorist	NA	0.964112654320988	0.0103644762610225	0.0717746913580246	1
a teacher	NA	a celebrity	NA	0.662852422907489	0.0311192541819807	0.674295154185022	1
a mother	NA	a pedophile	NA	0.997663829787234	0.00288471270319331	0.004672340425532	1
an elderly person	NA	an assassin	NA	0.930277153558052	0.0149681665586676	0.139445692883895	1
a judge	NA	a mother	NA	0.20287982832618	0.0254842459302922	0.40575965665236	-1
an elderly person	NA	a celebrity	NA	0.645998062015504	0.0293330371073267	0.708003875968992	1
a police officer	NA	a judge	NA	0.598838709677419	0.0431931073285003	0.802322580645161	1
a judge	NA	a gang member	NA	0.849176724137931	0.0312598125243866	0.301646551724138	1
a terrorist	NA	a nun	NA	0.0362155172413793	0.0163399974941939	0.0724310344827586	-1
an addict	NA	a convict	NA	0.601085365853659	0.0418421370180543	0.797829268292683	1
an adult	NA	a police officer	NA	0.45887987987988	0.0268432445388658	0.91775975975976	-1
an elderly person	NA	a terrorist	NA	0.972891634980989	0.0100285386885942	0.0542167300380227	1
a convict	NA	an olympian	NA	0.19065	0.0352160735816072	0.3813	-1
a mother	NA	a nun	NA	0.794384615384615	0.0253920635380586	0.411230769230769	1
an addict	NA	an olympian	NA	0.274782407407407	0.0417092263496147	0.549564814814815	-1
a pedophile	NA	an adult	NA	0.0183978658536585	0.00743240081020571	0.0367957317073171	-1
a pedophile	NA	a father	NA	0.00478270042194093	0.0040412714764472	0.00956540084388191	-1
a soldier	NA	an elderly person	NA	0.607296577946768	0.0305329402799998	0.785406844106464	1
a police officer	NA	an adult	NA	0.540989489489489	0.0264006817231174	0.918021021021021	1
a rapist	NA	a nun	NA	0.0338155737704918	0.0152312478111046	0.0676311475409836	-1
a father	NA	a convict	NA	0.908733606557377	0.0184528256894168	0.182532786885246	1
an assassin	NA	a gang member	NA	0.415823529411765	0.0428362906065755	0.831647058823529	-1
a rapist	NA	a police officer	NA	0.0275116279069767	0.0142136829140765	0.0550232558139535	-1
a soldier	NA	an addict	NA	0.856314159292035	0.0318815016421925	0.287371681415929	1
a mentor	NA	an olympian	NA	0.589794642857143	0.0450979157788287	0.820410714285714	1
an elderly person	NA	an adult	NA	0.549	0.0232414929980294	0.902	1
a gang member	NA	a thief	NA	0.532103448275862	0.0430722195388266	0.935793103448276	1
a police officer	NA	a teacher	NA	0.491875518672199	0.0312798302903616	0.983751037344398	-1
a mother	NA	an addict	NA	0.90975974025974	0.0181363747090232	0.180480519480519	1
an assassin	NA	an adult	NA	0.0856463414634146	0.0149421525022827	0.171292682926829	-1
a police officer	NA	a congressman	NA	0.683275862068966	0.0411692826333372	0.633448275862069	1
an olympian	NA	a father	NA	0.242860262008734	0.027841270143095	0.485720524017467	-1
a mother	NA	a rapist	NA	0.995197478991597	0.00420599159742996	0.00960504201680679	1
a thief	NA	a father	NA	0.0404170212765957	0.0120132460210872	0.0808340425531915	-1
a congressman	NA	a terrorist	NA	0.877990654205608	0.0303472479194746	0.244018691588785	1
a rapist	NA	an assassin	NA	0.369383064516129	0.0364999522225861	0.738766129032258	-1
an astronaut	NA	a rapist	NA	0.980040650406504	0.0117269357850508	0.039918699186992	1
a convict	NA	a mother	NA	0.0750103305785124	0.0161584432883982	0.150020661157025	-1
a mentor	NA	a gang member	NA	0.894482905982906	0.0272353800719462	0.211034188034188	1
a terrorist	NA	a congressman	NA	0.121303738317757	0.0312469871140958	0.242607476635514	-1
a terrorist	NA	a convict	NA	0.259592741935484	0.0367020123185872	0.519185483870968	-1
a soldier	NA	an olympian	NA	0.705903669724771	0.0437243048230047	0.588192660550459	1
a terrorist	NA	a pedophile	NA	0.55858547008547	0.039579686175703	0.88282905982906	1
a convict	NA	a thief	NA	0.59143253968254	0.0418202730558213	0.817134920634921	1
a nun	NA	a teacher	NA	0.382004255319149	0.0304593757001877	0.764008510638298	-1
a congressman	NA	an elderly person	NA	0.314380859375	0.0289378489496041	0.62876171875	-1
a mentor	NA	a teacher	NA	0.480785106382979	0.0322947905509381	0.961570212765957	-1
an astronaut	NA	a celebrity	NA	0.611700892857143	0.0442051325320904	0.776598214285714	1
a celebrity	NA	an astronaut	NA	0.38728125	0.0442147080907828	0.7745625	-1
an addict	NA	a soldier	NA	0.143314159292035	0.0298838997524036	0.286628318584071	-1
a convict	NA	a nun	NA	0.201555118110236	0.0332266207525724	0.403110236220472	-1
a mentor	NA	an assassin	NA	0.939358333333333	0.0206296701773188	0.121283333333333	1
a gang member	NA	an addict	NA	0.330061403508772	0.0441566354840616	0.660122807017544	-1
an astronaut	NA	a mother	NA	0.230353191489362	0.0265936568941786	0.460706382978723	-1
a teacher	NA	an elderly person	NA	0.506930446194226	0.025191262623919	0.986139107611549	1
a mother	NA	a soldier	NA	0.610118534482759	0.0314520040621758	0.779762931034483	1
a celebrity	NA	a mentor	NA	0.356112612612613	0.0440552065114841	0.712225225225225	-1
a soldier	NA	an assassin	NA	0.964199152542373	0.0167611640720689	0.0716016949152543	1
a mother	NA	an elderly person	NA	0.709283464566929	0.0234898498206832	0.581433070866142	1
a teacher	NA	a soldier	NA	0.392978448275862	0.030737053585274	0.785956896551724	-1
a nun	NA	an assassin	NA	0.908595833333333	0.0259921011455567	0.182808333333333	1
a soldier	NA	a terrorist	NA	0.988723684210526	0.0091174076045424	0.0225526315789475	1
a judge	NA	an addict	NA	0.713758771929825	0.0411528496493016	0.572482456140351	1
an olympian	NA	a judge	NA	0.510090909090909	0.0465372019540407	0.979818181818182	1
a gang member	NA	a judge	NA	0.149491379310345	0.0320395583003025	0.29898275862069	-1
an adult	NA	a convict	NA	0.809794029850746	0.0215818647024498	0.380411940298508	1
an addict	NA	a judge	NA	0.287416666666667	0.0398078971473339	0.574833333333333	-1
